Time_s,R_index,RR_interval_s,HR_BPM
115.249,14151,0.64,93.75
115.887,14231,0.64,93.75
116.53,14312,0.648,92.5925925925926
117.192,14393,0.648,92.5925925925926
117.803,14472,0.632,94.9367088607595
118.429,14549,0.616,97.40259740259741
119.078,14630,0.648,92.5925925925926
119.726,14711,0.648,92.5925925925926
120.383,14793,0.656,91.46341463414633
121.051,14875,0.656,91.46341463414633
121.684,14955,0.64,93.75
122.329,15034,0.632,94.9367088607595
122.921,15111,0.616,97.40259740259741
123.518,15185,0.592,101.35135135135135
124.106,15258,0.584,102.73972602739727
124.685,15330,0.576,104.16666666666667
125.261,15402,0.576,104.16666666666667
125.843,15476,0.592,101.35135135135135
126.453,15552,0.608,98.6842105263158
127.061,15628,0.608,98.6842105263158
127.668,15703,0.6,100.0
128.266,15778,0.6,100.0
128.881,15856,0.624,96.15384615384616
129.547,15938,0.656,91.46341463414633
130.226,16024,0.688,87.2093023255814
130.991,16119,0.76,78.94736842105263
131.702,16208,0.712,84.26966292134831
132.343,16288,0.64,93.75
132.976,16366,0.624,96.15384615384616
133.583,16442,0.608,98.6842105263158
134.183,16517,0.6,100.0
134.767,16590,0.584,102.73972602739727
135.355,16663,0.584,102.73972602739727
135.933,16735,0.576,104.16666666666667
136.524,16810,0.6,100.0
137.117,16883,0.584,102.73972602739727
137.691,16955,0.576,104.16666666666667
138.289,17030,0.6,100.0
138.911,17107,0.616,97.40259740259741
139.549,17188,0.648,92.5925925925926
140.221,17272,0.672,89.28571428571428
140.92,17357,0.68,88.23529411764706
141.579,17438,0.648,92.5925925925926
142.197,17516,0.624,96.15384615384616
142.779,17592,0.608,98.6842105263158
143.383,17666,0.592,101.35135135135135
143.956,17738,0.576,104.16666666666667
144.532,17810,0.576,104.16666666666667
145.098,17881,0.568,105.63380281690142
145.698,17956,0.6,100.0
146.348,18036,0.64,93.75
147.061,18126,0.72,83.33333333333334
147.806,18219,0.744,80.64516129032258
148.617,18315,0.768,78.125
149.312,18408,0.744,80.64516129032258
150.048,18499,0.728,82.41758241758242
150.754,18588,0.712,84.26966292134831
151.435,18673,0.68,88.23529411764706
152.09,18755,0.656,91.46341463414633
152.759,18837,0.656,91.46341463414633
153.391,18917,0.64,93.75
154.021,18994,0.616,97.40259740259741
154.614,19070,0.608,98.6842105263158
155.211,19145,0.6,100.0
155.874,19227,0.656,91.46341463414633
156.568,19314,0.696,86.20689655172414
157.262,19401,0.696,86.20689655172414
158.034,19497,0.768,78.125
158.768,19589,0.736,81.52173913043478
159.479,19678,0.712,84.26966292134831
160.165,19764,0.688,87.2093023255814
160.838,19848,0.672,89.28571428571428
161.528,19934,0.688,87.2093023255814
162.173,20015,0.648,92.5925925925926
